Moscow Maps 2.0
00
		4788267	4788268	4788269	4788270	4788271	4788272	4788273	4788274	4788275	4788276 1111
Lian/obstacleposition=0.2	numberofsteps	TL	28212	52972	208089	654437	TL	TL	980882	436853	21732	340453.8571
Lian/obstacleposition=0.2	memory	TL	45525	69256	196064	596647	TL	TL	865859	493449	28083	327840.4286
Lian/obstacleposition=0.2	pathlength	TL	518.39478	458.78925	481.21579	527.10358	TL	TL	493.26755	558.17157	450.44025	498.1975386
Lian/obstacleposition=0.2	max_angle	TL	24.4866848	23.96249008	24.8515892	28.00917816	TL	TL	22.3801403	23.90205193	24.4866848	24.58268847
Lian/obstacleposition=0.2	dliantime	TL	0.65204	0.993071	8.217576	40.233852	TL	TL	126.574979	18.92034	0.202014	27.97055314
Lian/obstacleposition=0.2	sumtime	TL	0.238013	0.491035	5.369387	34.612452	TL	TL	69.573932	14.422035	0.120009	17.832409
Lian/obstacleposition=0.4	numberofsteps	TL	23483	63052	162676	1163960	TL	TL	487479	TL	TL	380130
Lian/obstacleposition=0.4	memory	TL	42312	99840	188705	1141564	TL	TL	560035	TL	TL	406491.2
Lian/obstacleposition=0.4	pathlength	TL	515.41522	459.3858	481.60208	544.56091	TL	TL	481.11331	TL	TL	496.415464
Lian/obstacleposition=0.4	max_angle	TL	24.4866848	34.76519775	24.8515892	24.8515892	TL	TL	23.19858742	TL	TL	26.43072968
Lian/obstacleposition=0.4	dliantime	TL	0.244024	1.937143	10.349733	121.741625	TL	TL	44.715176	TL	TL	35.7975402
Lian/obstacleposition=0.4	sumtime	TL	0.285021	1.429096	5.71641	29.227078	TL	TL	76.98646	TL	TL	22.728813
Lian/obstacleposition=0.6	numberofsteps	TL	20723	26394	184117	481737	TL	TL	437071	TL	TL	230008.4
Lian/obstacleposition=0.6	memory	TL	35751	42190	248102	509419	TL	TL	531196	TL	TL	273331.6
Lian/obstacleposition=0.6	pathlength	TL	515.18408	456.38153	485.72043	520.75488	TL	TL	478.91443	TL	TL	491.39107
Lian/obstacleposition=0.6	max_angle	TL	24.4866848	22.61986542	24.8515892	28.00917816	TL	TL	22.40983391	TL	TL	24.4754303
Lian/obstacleposition=0.6	dliantime	TL	0.171009	0.800057	10.879778	42.152982	TL	TL	37.715674	TL	TL	18.3439
Lian/obstacleposition=0.6	sumtime	TL	0.27003	0.562033	9.081644	35.148493	TL	TL	73.126198	TL	TL	23.6376796
Lian/obstacleposition=0.8	numberofsteps	TL	20985	376116	130452	301072	489916	TL	433287	TL	TL	291971.3333
Lian/obstacleposition=0.8	memory	TL	36680	499654	189039	398920	648516	TL	525169	TL	TL	382996.3333
Lian/obstacleposition=0.8	pathlength	TL	515.18408	472.20612	482.89435	518.25391	506.36713	TL	478.63574	TL	TL	495.5902217
Lian/obstacleposition=0.8	max_angle	TL	24.4866848	24.8515892	24.8515892	28.00917816	22.40983391	TL	22.40983391	TL	TL	24.5031182
Lian/obstacleposition=0.8	dliantime	TL	0.169017	38.499736	5.011355	31.72525	32.984335	TL	35.245499	TL	TL	23.93919867
Lian/obstacleposition=0.8	sumtime	TL	0.27802	38.76875	7.306512	33.576383	38.623748	TL	69.874952	TL	TL	31.4047275
01
		4768467	4768468	4768469	4768470	4768471	4768472	4768473	4768474	4768475	4768476
Lian/obstacleposition=0.2	numberofsteps	693263	237335	319491	1057127	39699	287603	TL	TL	TL	1908890	649058.2857
Lian/obstacleposition=0.2	memory	672043	217326	317086	896443	53763	265157	TL	TL	TL	1446913	552675.8571
Lian/obstacleposition=0.2	pathlength	486.46887	547.21912	457.80569	555.19989	463.98056	531.6156	TL	TL	TL	612.08716	522.0538414
Lian/obstacleposition=0.2	max_angle	23.96249008	24.8515892	24.4866848	22.61986542	22.3801403	29.67307854	TL	TL	TL	47.92498016	27.98554693
Lian/obstacleposition=0.2	dliantime	48.578444	4.244301	9.893702	68.900887	0.64304	4.274307	TL	TL	TL	140.346954	39.55451929
Lian/obstacleposition=0.2	sumtime	35.863532	3.089206	9.644694	39.625815	0.38002	1.665118	TL	TL	TL	90.627419	25.84225771
Lian/obstacleposition=0.4	numberofsteps	517809	178600	300910	TL	33180	TL	426187	TL	TL	TL	291337.2
Lian/obstacleposition=0.4	memory	567083	162925	338250	TL	48705	TL	506837	TL	TL	TL	324760
Lian/obstacleposition=0.4	pathlength	478.34586	529.34735	457.80569	TL	462.29132	TL	514.89319	TL	TL	TL	488.536682
Lian/obstacleposition=0.4	max_angle	23.96249008	24.4866848	24.4866848	TL	22.40983391	TL	23.96249008	TL	TL	TL	23.86163673
